Time,Favorites,Retweets,Compound,Negative,Positive,Neutral,Open,High,Low,Close,Volume,Funding Rate 0000,Funding Rate 0800,Funding Rate 1600,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions
20211218.0,1957.0,198.0,0.0322,0.0,0.0195,0.9804999999999999,46146.4,47350.0,45500.1,46825.3,256921386.3,0.0,0.01,0.01,11.67,27.88,855978.0,616818.0,239170.0
20211217.0,3000.5,419.0,0.24695,0.0,0.099,0.901,47624.7,48001.0,45425.6,46146.3,430522904.6,0.01,0.01,0.01,12.52,29.74,979005.0,660755.0,263495.0
20211216.0,1751.5,283.75,0.350175,0.0,0.1025,0.8975,48873.4,49435.1,47512.0,47624.6,390317185.2,0.01,0.01,0.01,12.81,29.12,873836.0,664445.0,256206.0
20211215.0,3188.0,507.85714285714283,0.19424285714285713,0.0,0.06771428571428571,0.9322857142857143,48350.8,49540.0,46539.9,48873.4,467022214.6,0.01,0.01,0.01,14.23,33.46,1058257.0,707659.0,281103.0
20211214.0,1607.6666666666667,305.0,0.4619333333333333,0.0,0.167,0.8330000000000001,46695.8,48665.4,46285.0,48355.2,374822293.2,0.01,0.0,0.01,15.37,35.32,966596.0,684529.0,278275.0
20211213.0,1429.8333333333333,203.33333333333334,0.31446666666666667,0.022333333333333334,0.13049999999999998,0.8471666666666667,50055.1,50210.1,45714.5,46695.8,484063976.8,0.01,0.01,0.01,14.8,32.22,996713.0,690479.0,278211.0
20211212.0,158.5,30.5,-0.07945,0.053,0.058,0.889,49392.0,50774.9,48650.0,50055.1,280893046.0,0.01,0.01,0.01,12.24,29.74,725043.0,567489.0,214808.0
20211211.0,1522.6833333333332,230.6811287477954,0.29494732804232804,0.02447222222222222,0.12017583774250441,0.8553303350970018,47131.6,49485.0,46714.6,49391.6,332513353.3,0.01,0.01,0.01,9.11,25.84,805461.0,599422.0,225733.0
20211210.0,2208.0,421.75,-0.2172,0.19525,0.107,0.698,47545.1,50100.0,46852.7,47135.7,525084431.2,0.01,0.01,0.01,10.16,28.53,930831.0,716381.0,271375.0
20211209.0,190.5,35.0,0.31755,0.0245,0.1105,0.865,50472.2,50800.0,47317.0,47548.6,487901273.5,0.01,0.01,0.01,10.59,29.61,1123743.0,707394.0,282775.0
20211208.0,235.0,23.333333333333332,0.5753,0.0,0.20199999999999999,0.798,50582.3,51203.6,48600.0,50467.3,451349974.8,0.01,0.01,0.01,10.59,30.15,927369.0,660440.0,266110.0
20211207.0,191.5,27.0,0.4333,0.0,0.129,0.871,50442.4,51930.7,50026.6,50582.3,450594771.9,0.01,0.01,0.0,11.86,30.68,983177.0,725368.0,288343.0
20211206.0,751.5,32.0,0.68135,0.0,0.27749999999999997,0.7225,49398.5,50900.0,47120.3,50442.4,626157750.5,0.01,0.01,0.01,13.98,33.38,1078373.0,701524.0,284467.0
20211205.0,1522.6833333333332,230.6811287477954,0.29494732804232804,0.02447222222222222,0.12017583774250441,0.8553303350970018,49166.5,49691.2,47726.0,49398.1,489318419.3,0.0,0.01,0.01,14.4,32.84,978899.0,588178.0,215213.0
20211204.0,1522.6833333333332,230.6811287477954,0.29494732804232804,0.02447222222222222,0.12017583774250441,0.8553303350970018,53611.6,53855.0,40589.0,49166.5,813911345.4,0.03,0.01,0.01,29.74,62.01,961294.0,697287.0,253674.0
20211203.0,1603.6,210.0,0.22462,0.0,0.1044,0.8956,56484.7,57600.0,51367.0,53630.4,434955898.6,0.01,0.01,0.01,13.01,38.99,1010596.0,738749.0,290139.0
20211202.0,953.75,123.0,0.4335,0.0,0.1415,0.8585,57187.5,57372.8,55752.5,56484.6,337692238.2,0.01,0.02,0.01,12.7,39.63,1184757.0,781370.0,313261.0
20211201.0,2993.0,421.6666666666667,0.2524,0.02816666666666667,0.14916666666666667,0.8228333333333334,56937.8,59038.7,56450.0,57187.5,417797646.8,0.01,0.01,0.03,13.32,40.27,1057704.0,727357.0,288422.0
20211130.0,1114.25,144.5,0.24162499999999998,0.02775,0.08825,0.88375,57777.4,59200.0,55877.1,56928.1,468364796.4,0.02,0.03,0.01,14.87,44.75,977183.0,737531.0,293876.0
20211129.0,74.0,14.0,0.6166,0.0,0.212,0.788,57275.5,58882.3,56664.5,57777.4,408336675.0,0.01,0.01,0.01,14.25,43.47,993217.0,727580.0,301297.0
20211128.0,1930.9770429159316,245.61360964138743,0.33069542915931804,0.01409620811287478,0.12518903586125807,0.8607054967666079,54713.6,57443.9,53235.6,57275.5,371130261.0,0.01,0.01,0.01,13.32,40.27,816560.0,560812.0,213768.0
20211127.0,217.0,46.0,0.0,0.0,0.0,1.0,53720.3,55288.0,53600.0,54714.7,286730318.6,0.01,0.01,0.01,14.58,39.03,777970.0,619406.0,240759.0
20211126.0,4775.0,814.5,0.2601,0.0415,0.12925,0.82925,58956.3,59154.9,53500.0,53723.3,646552307.4,0.01,0.01,0.03,18.14,44.61,996141.0,742035.0,292645.0
20211125.0,18.0,0.0,0.0,0.0,0.0,1.0,57136.9,59400.0,57000.0,58952.4,412301934.9,0.01,0.01,0.02,14.26,47.71,973237.0,741152.0,287496.0
20211124.0,1829.7777777777778,203.22222222222223,0.4510777777777778,0.0,0.14177777777777778,0.8582222222222222,57540.2,57722.3,55868.0,57136.9,457719367.2,0.01,0.01,0.01,16.2,58.24,1071921.0,737069.0,298909.0
20211123.0,49.0,30.0,0.34505,0.0,0.1155,0.8845000000000001,56245.0,57858.9,55320.0,57540.2,467100249.3,0.01,0.01,0.01,16.52,48.95,909010.0,700954.0,283401.0
20211122.0,1690.25,265.0,0.2898,0.0,0.08149999999999999,0.9185,58595.6,59497.9,55630.0,56245.1,591121412.0,0.01,0.01,0.01,15.23,41.51,947435.0,676350.0,279165.0
