Time,Compound,Close,Volume,FundingRate,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions,Close_mean,Close_std
2021-05-27 00:00:00,0.4171710185185186,38527.7,328474370.6,0.01,14.46,23.18,864432,602300.0,214035.0,38790.73333333334,460.5492192299691
2021-05-28 00:00:00,0.4171710185185186,35661.2,419888900.7,0.01,14.46,22.52,972164,616432.0,218311.0,38696.66666666667,482.9517194641159
2021-05-29 00:00:00,0.296,34600.2,431403491.3,0.01,14.46,22.52,863265,537305.0,198332.0,37810.1,1894.906417214352
2021-05-30 00:00:00,0.4171710185185186,35644.4,269410832.4,0.01,18.72,27.26,990443,476088.0,179795.0,36263.03333333333,2031.739792230704
2021-05-31 00:00:00,0.4171710185185186,37257.6,299164717.0,0.01,18.15,24.62,977895,599311.0,226469.0,35301.93333333333,607.7769437333094
2021-06-01 00:00:00,0.3289375,36689.4,280928353.8,0.01,17.59,25.5,914351,615006.0,234561.0,35834.06666666667,1338.8143162267615
2021-06-02 00:00:00,0.3289375,37589.0,225880526.9,0.01,17.02,26.38,1090605,663855.0,250589.0,36530.46666666667,818.2593802295435
2021-06-03 00:00:00,0.3289375,39249.9,230828970.6,0.01,17.02,26.38,1015474,692529.0,255621.0,37178.666666666664,454.96471658091656
2021-06-04 00:00:00,0.1027,36829.3,303419310.0,0.013333333333333334,19.29,25.5,907519,632737.0,236672.0,37842.76666666667,1298.9758286178674
2021-06-05 00:00:00,-0.3612,35514.6,265851704.3,0.01,17.02,25.5,762659,537842.0,194580.0,37889.4,1237.944348506884
2021-06-06 00:00:00,0.3289375,35798.1,186157287.0,0.01,19.08,24.78,737174,467665.0,185305.0,37197.93333333334,1894.738616098154
2021-06-07 00:00:00,0.3289375,33560.0,238469255.1,0.01,17.89,25.7,910652,615279.0,235479.0,36047.333333333336,691.8792982404318
