Time,Open,Close,High,Low,Amount,Volume
2021-06-01,37257.6,36689.4,37898.9,35698.1,7683.095028,280928353.8
2021-05-31,35644.5,37257.6,37500,34127.8,8288.365866,299164717
2021-05-30,34605.6,35644.4,36496.4,33393.1,7624.552106,269410832.4
2021-05-29,35661.3,34600.2,37337.8,33621,12290.41414,431403491.3
2021-05-28,38529.4,35661.2,38875,34683,11531.34517,419888900.7
2021-05-27,39241.3,38527.7,40399,37134.7,8469.645405,328474370.6
2021-05-26,38320.9,39241.4,40831.3,37803.6,9233.469471,361841801
2021-05-25,38803.2,38320.9,39793.6,36444.6,9520.138788,361761310.1
2021-05-24,34687.8,38809.9,39920,34370.3,10412.747,386404645.8
2021-05-23,37446.3,34676.9,38271.7,31088,14558.40212,500827223.2
2021-05-22,37252.7,37453.8,38837.7,35210,10179.56518,380977242.3
2021-05-21,40522.7,37257,42238.2,33433.3,13365.87412,509140291.3
2021-05-20,36670.8,40530.5,42398.4,34875.4,12863.4529,508622726.6
2021-05-19,42850.7,36664.7,43571,29000,21800.5734,836064780.5
2021-05-18,43531.1,42847.8,45784.2,42267.2,9551.681224,419737500.8
2021-05-17,46426.1,43538.7,46617,42112.5,11722.79249,516079876.2
2021-05-16,46775.5,46427.4,49785.8,43877.8,9409.630343,442072367.4
2021-05-15,49848.4,46775.4,50660.8,46556.7,7795.085294,379327493.4
2021-05-14,49675.4,49848.5,51465,48813,5450.843612,273449532.7
2021-05-13,49627.6,49675.4,51360.8,45800,10032.97513,497271871
2021-05-12,56678.4,49661.9,57990,48352.8,9545.098734,522673294.3
2021-05-11,55813.2,56678.3,56856,54428.1,6867.993539,382931091.5
2021-05-10,58250.3,55813.2,59499.9,52538,8151.258258,466857350.5
2021-05-09,58863.1,58250.2,59208.9,56227.1,5830.153824,337488136
2021-05-08,57307.2,58863.1,59491,56910.4,5872.021026,343485003.6
2021-05-07,56397.7,57307.3,58643.2,55244.6,6550.041578,372658922
2021-05-06,57431.5,56397.6,58362.4,55242,6418.750561,365133897.8
2021-05-05,53196.3,57431.5,57979.7,52888,6154.551585,344232265.4
2021-05-04,57159.7,53196.3,57188.2,53083.3,7079.558047,390469293.4
2021-05-03,56568.5,57159.7,58977.9,56451.3,4780.433872,276554749.5
2021-05-02,57794.7,56568.5,57903.7,56044.3,3508.524288,199206958.1
2021-05-01,57697.3,57794.7,58471.4,57006.3,3639.789666,210179438.2
2021-04-30,53558.5,57697.3,57936.4,53042.6,5000.475573,277531927.9
2021-04-29,54833.1,53558.4,55181.2,52340.1,4356.051772,234153663.4
2021-04-28,55014.2,54833.2,56399.1,53808.3,4801.046186,262912695.6
2021-04-27,53997.1,55014.3,55439,53240.8,4344.222913,237020455.9
2021-04-26,49069,54000.2,54336.4,48775.8,6695.129349,353727728.3
2021-04-25,50041.5,49086.9,50554.6,46966.2,4805.346641,237153315.2
2021-04-24,51109.8,50033,51157.9,48676.5,4833.417447,241336360.9
2021-04-23,51691.2,51102.7,52112.1,47502.1,8885.070604,441295812.6
2021-04-22,53793.5,51696.4,55474.7,50400,8879.160163,475394174.2
2021-04-21,56426.1,53793.6,56761.7,53602,6240.821918,345339357.8
2021-04-20,55618.7,56427.8,57061.6,53328,8677.75606,480164200.6
2021-04-19,56152.7,55618.8,57583.4,54205.2,7721.306905,432634348.9
2021-04-18,59995.3,56150.6,60409.5,49001,11485.97101,637797282.4
2021-04-17,61342.7,59995.2,62497.8,59599.6,5367.429793,328364887.7
2021-04-16,63152.6,61342.6,63509.7,59930.8,8295.325239,510423835.7
2021-04-15,62954.4,63152.6,63772.1,62023.9,4709.824271,296178401.8
2021-04-14,63578.7,62958.7,64840,61000,7696.509177,487298143.9
2021-04-13,59863.4,63578.7,63759.7,59815,6906.310253,430518557.6
2021-04-12,60007.6,59863.4,61270.7,59417.4,4611.409014,277430208.7
2021-04-11,59770.2,60007.6,60687.4,59247.6,3896.37426,233158562.8
2021-04-10,58138.2,59770.2,61350,57902.1,5533.506756,332014577.5
2021-04-09,58076.7,58131.6,58900,57666.9,3516.191047,204849717.1
2021-04-08,55958.2,58076.7,58141,55700.6,3175.604821,181817013.5
2021-04-07,57988.3,55958.2,58668.6,55439,5277.049064,299996660.4
2021-04-06,59116.2,57988.3,59497.5,57304.8,2964.861839,173169186.8
2021-04-05,58201.4,59116.2,59254.1,56501,3003.760434,174821106.7
2021-04-04,57052.5,58201.4,58481.2,56432.6,2069.146701,119228330.2
2021-04-03,58963.6,57058.3,59795,56721.2,2512.191096,147434403.1
2021-04-02,58735.7,58963.6,60179.1,58460.7,2553.764273,151446539.6
2021-04-01,58745.5,58735.7,59487.1,57879,3163.982131,186078130.9
2021-03-31,58753.2,58745.9,59800,56357.5,4921.458482,288469053.1
2021-03-30,57630.8,58754.6,59351.9,57072.8,3563.87315,208118726.1
2021-03-29,55772.8,57628.9,58400.5,54926.5,4413.631216,251384747.3
2021-03-28,55820.3,55772.9,56541,54666.6,3158.204527,176119911.2
2021-03-27,55031.9,55820.4,56628.6,53967.5,3634.735885,200758048.8
2021-03-26,51301.7,55032,55062.5,51225.3,4609.481929,245299757.5
2021-03-25,52307.1,51301.7,53239.1,50455,7242.64664,375950351.6
2021-03-24,54348.4,52307.4,57200,51499.6,6416.760246,351202326.2
2021-03-23,54086.8,54348.4,55823.1,52986.3,4374.340463,239135883.5
2021-03-22,57345.3,54096.1,58415.5,53667,4219.995018,237141977
2021-03-21,58113.5,57350.2,58591.6,55501,3265.356498,186845535.5
2021-03-20,58024.3,58113.5,59874.6,57825.6,2746.529738,161565114.2
2021-03-19,57648.9,58024.2,59450.1,56071,3727.094342,217005823.7
2021-03-18,58882.9,57648.9,60107.7,57000,5073.74587,297279816.5
2021-03-17,56880.3,58875.8,58951.8,54147.5,5828.790269,328135601.6
2021-03-16,55607.1,56880.3,56918.9,53240.3,7410.490577,409052587.5
2021-03-15,59000,55607.1,60632.9,54525.6,5910.335182,338468393.2
2021-03-14,61174.3,59000,61700,59000,3084.339523,186155667.7
2021-03-13,57220.7,61180.9,61815.3,56059.3,4394.623184,259602986.9
2021-03-12,57781,57238.5,58057.5,55013.7,4031.037663,228810606.1
2021-03-11,55863.7,57781.1,58150,54238,3403.694415,191915265
2021-03-10,54867.5,55865.5,57364,52911.4,4049.505539,224565244.8
2021-03-09,52376.9,54867.6,54867.6,51833.8,3070.935815,165487483.1
2021-03-08,50956.6,52377,52387.5,49287.5,2710.991512,137751640.2
2021-03-07,48885,50930.4,51424.7,48885,2444.358498,122962479.8
2021-03-06,48746.9,48871.9,49255.1,47001,1949.153114,94201823.81
2021-03-05,48374.5,48758.9,49450,46189.8,3697.345569,176318969.5
2021-03-04,50347.6,48374.5,51762.1,47505.7,3624.176836,178873453.3
